10,납부 계좌 를 다른 사람 것 으로 바꿀수 있나요 ?
18,100% LTE 데이터 팩 에 대해 알려줘
52,링 요금 제도 자동 상한 옵션 설정 변경 이 가능한가요 ?
24,연체 요금 있나요 ?
40,폰 찾을 수 있는 방법 은 ?
30,LTE 안심 옵션 에 대해 알려주세요
43,사용 요금 확인 방법 은 ?
40,폰 을 분실 했는데 위치 조회 가능한가요 ?
16,현금영수증 을 인터넷 을 통해 어떻게 받아 ?
28,미납 정지 관련 상담
20,콕 카테고리 재 변경 가능해요 ?
8,데이터 주고 받기 한도 는 요 ?
17,핸드폰 요금 결제 일 은 몇 일 있나요 ?
43,실시간 요금 조회
34,요금 납부 내 역 을 알려줘요
10,납부 카드 를 가족 명의 로 바꿀수 있나요 ?
10,내 납부 통장 을 다른 카드 로 바꿔주세요
24,내 가 납부 하지 않은 금액 이 있나요 ?
34,제 가 납부 한 요금 이 얼마 죠 ?
10,납부 계좌 은행 바꿔주세요
46,오토 롱 필링 장르 변경 방법 은 요 ?
34,요금 납부 내 역 은 어디서 봐 ?
58,해 지시 납부 해야하는 요금
13,쇼핑 콕 인터파크 에서 책살때 혜택 좀 알려주
54,LTE 요금 제로 바꿔줘
22,"요금 납부 를 하고 싶은데 , 무 통장 입금 은 어떻게 하나요 ?"
42,파워 9원 요금 제의 혜택 이 뭐 예요 ?
23,청구 서 상세 내 역 알려주세요
30,LTE 안심 옵션 은 뭔가 요 ?
30,LTE 안심 옵션 이 뭐 죠 ?
41,뚜뚜 거리 면서 통화 중 에 전화 왔다고 알려주는 서비스 는 ?
46,오토 롱 필링 장르 변경 을 어떻게 해 요 ?
50,부가 서비스 알려줘요
49,모바일 카드 로 도 현금영수증 되요 ?
0,데이터 주고받기 이용 이 가능한 대상자 가 있나요 ?
0,데이터 주고받 기 가 어떤 거 죠 ?
54,지금 요 금제 를 LTE 음성 무한 자유 69 로 바꾸려면 어떻게 해야하지 ?
44,오토 롱 필링 가입 하려는데 외국인 이 예요
33,사이버 통화 상 세 내 역 조회 는 어떻게 신청 합 니까 ?
21,대리점 에서 요금 을 납부 하고 싶은데 방법 을 랄려 줘요
17,결제 날짜 확인 부탁드립니다 .
10,납부 카드 를 다른 가족 것 으로 바꿀수 있나요 ?
40,폰 잃어버렸는데 찾을 수 있는 방법 은 ?
1,오토 롱 필링 라이트 가 있다면서요 ? 어떤 서비스 지 요 ?
5,고객 센터 앱 으로 오늘 까지 사용 한 금액 ( 실시간 요금 ) 을 확인 할 수 있나요 ?
8,데이터 주기 이용 방법 을 알려주세요 .
10,납부 통장 을 다른 사람 것 으로 변경 하고 싶어요
20,카테고리 선택 후 재 변경 이 가능한가요 ?
40,휴대폰 위치 좀 확인 하려고 하는데요
26,멤버십 등급 이 바뀌면 나 만의 콕 혜택 이 바뀌나요 ?
48,교과 월 정액 데이터 3 GB 이상 사용 하면 어떻게 되죠 ?
1,오토 롱 필링 라이트 가 뭔가 요 ?
28,핸드폰 미납 요금 및 정지
34,요금 납부 내 역 을 알려줘요
0,데이터 주고받기 서비스 에서 대상자 제한 이 이나 요 ?
12,sentence
20,콕 카테고리 를 선택 한 후 에 또 바꿀수 있어요 ?
0,데이터 주고받 기는 누구 랑 할 수 있어요 ?
36,링 소진 에 대해 알려주세요
45,링 요 금제 가 무었 인지 알려주세요 .
19,멤버십 카드 가맹 점 을 알 고 싶어요 .
32,멤버십 특별 등급 알려줘요
34,내 가 납부 한 요금 내 역 어디서 볼수 있지 ?
48,교과 월 정액 전용 데이터 차감 순서 는 ?
3,링 요 금제 사용 시 부모 충전 동의 사항 은 변경 이 가능한가요 ?
51,요 금제 중 에서 6 인 지정 할인 요 금제 가 있어요 ?
34,내 가 낸 요금 이 얼마 지 ?
36,링 소진 이 되었는지 어떻게 알 수 있어요 ?
13,인터파크 도서 혜택 에 대해 알려주세요 .( 쇼핑 콕 선택 시 )
19,멤버십 혜택 을 알려줘
24,나 납부 하지 않은 금액 이 있나요 ?
10,납부 통장 을 다른 사람 것 으로 바꿔줘요
10,납부 계좌 를 다른 사람 것 으로 변경 할 수 있나요 ?
14,청구 요금 상세 내 역
29,청구 서는 언제 도착 하나요 ?
17,요금 결 재일 을 알려줴 요
34,요금 납부 내 역 알려주세요
34,요금 납부 한 내 역 을 확인 하고 싶어
